Serial_Number,Student_Name,Roll_Number,Date_of_birth,Student_Gender,Institute_Name,Branch_Location,Course_Name,Pincode,Tenure,course_fees,current_occupation_type,photo_of_PAN,Aadhaar_front_side,Aadhaar_back_side,colour_photo,Bank_Statement,ITR,Relation_with_student
1,Ty Ayelloribbin,10598652300,25-01-1995,Male,UNIVERSITY OF PETROLEUM AND ENERGY STUDIES,DEHRADUN,B. Tech Computer Science and Engineering with LL.B (Hons.) (Cyber Law / Intellectual Property Rights),650112,12,50000,Salaried,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Self
2,Hugo First,10598652301,25-02-1995,Female,JAI BHARATH GROUP OF EDUCATIONAL INSTITUTIONS,JAI BHARATH SCHOOL OF MANAGEMENT STUDIES,MBA YEAR 1,650113,12,52000,SelfEmployed,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Mother
3,Percy Vere,10598652302,25-03-1995,Male,ARKA JAIN UNIVERSITY,JAMSHEDPUR,MBA YEAR 1,650114,12,59000,SelfEmployed,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Father
4,Jack Aranda,10598652303,25-04-1995,Female,AJEENKYA D Y PATIL UNIVERSITY,SCHOOL OF HOTEL MANAGEMENT,BSC CULINARY ARTS YEAR 1,650115,12,68000,SelfEmployed,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Brother
5,Olive Tree,10598652304,25-05-1995,Female,AMITY UNIVERSITY,WEST BENGAL KOLKATA,Bachelor of Pharmacy,650116,12,60000,Salaried,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Sister
6,Fran G Pani,10598652305,25-05-1996,Female,KALINGA UNIVERSITY,FACULTY OF PHARMACY,B. PHARMACY YEAR 3,650117,12,72000,SelfEmployed,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Self
7,John Quil,10598652306,12-05-1996,Male,REVA UNIVERSITY,BANGALORE,MFA KUCHIPUDI/ BHARATNATYAM,650118,12,796987,SelfEmployed,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Mother
8,Ev R Lasting,10598652307,04-01-2000,Male,GARDEN CITY UNIVERSITY,SCHOOL OF LEGAL STUDIES,BA LLB,650119,12,70000,Salaried,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Father
9,Anne Thurium,10598652308,07-03-1997,Female,"PRESIDENCY UNIVERSITY, BANGALORE",SCHOOL OF MEDIA,BA - JOURNALISM AND MASS COMMUNICATION,650120,12,98759,Salaried,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Brother
10,Cherry Blossom,10598652309,12-09-1992,Female,AJEENKYA D Y PATIL UNIVERSITY,SCHOOL OF HOTEL MANAGEMENT,BSC CULINARY ARTS YEAR 1,650121,12,90000,SelfEmployed,C:\Users\FinancePeer\pan-card-front,C:\Users\FinancePeer\aadhar_front_image,C:\Users\FinancePeer\aadhar_backside_image,C:\Users\FinancePeer\profile_pic,C:\Users\FinancePeer\bank_statement,C:\Users\FinancePeer\form_itr,Sister
